model,checkpoint,compositional_translate_sp_eng_lower
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.8033707865168539
LLM360/Amber,ckpt_065,0.8539325842696629
LLM360/Amber,ckpt_097,0.8707865168539326
LLM360/Amber,ckpt_130,0.9213483146067416
LLM360/Amber,ckpt_163,0.8932584269662921
LLM360/Amber,ckpt_195,0.898876404494382
LLM360/Amber,ckpt_228,0.898876404494382
LLM360/Amber,ckpt_261,0.898876404494382
LLM360/Amber,ckpt_293,0.9213483146067416
LLM360/Amber,ckpt_326,0.9101123595505618
LLM360/Amber,ckpt_358,0.9213483146067416
LLM360/Amber,main,0.9325842696629213
