model,checkpoint,simple_icl_present_to_gerund
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.9608938547486033
LLM360/Amber,ckpt_065,0.9776536312849162
LLM360/Amber,ckpt_097,0.9720670391061452
LLM360/Amber,ckpt_130,0.9217877094972067
LLM360/Amber,ckpt_163,0.9608938547486033
LLM360/Amber,ckpt_195,0.9217877094972067
LLM360/Amber,ckpt_228,0.9273743016759777
LLM360/Amber,ckpt_261,0.9329608938547486
LLM360/Amber,ckpt_293,0.9497206703910615
LLM360/Amber,ckpt_326,0.9497206703910615
LLM360/Amber,ckpt_358,0.9217877094972067
LLM360/Amber,main,0.9217877094972067
