model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_reverse,correct_gerund_reverse,total_gerund_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,9.008580582865168,18691.34210090187,3.684356799233035e-12,0.00020220538456549548
LLM360/Amber,ckpt_032,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,6.18528353230337,877.0101892615987,5.995511860634127e-08,0.003338018828574935
LLM360/Amber,ckpt_065,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,6.083578388342697,876.2190614376257,2.2633212481288954e-07,0.003951548866070102
LLM360/Amber,ckpt_097,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,6.289161253511236,901.0690765533368,2.0238236354750006e-08,0.0026978933886797492
LLM360/Amber,ckpt_130,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,6.127018960674158,823.7163491284439,3.6113835543206284e-08,0.003392919043999348
LLM360/Amber,ckpt_163,compositional_gerund_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,6.257198033707865,944.9522784302465,3.512408035571452e-08,0.0031034949556639642
LLM360/Amber,ckpt_195,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,5.94603669241573,638.6230302497493,6.574190613773019e-08,0.003901429172007715
LLM360/Amber,ckpt_228,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,5.75709928019663,604.1430311553426,4.592860942853293e-08,0.004527934335670177
LLM360/Amber,ckpt_261,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,5.800748332162922,767.2531145475525,6.291800903627558e-08,0.004884716558485166
LLM360/Amber,ckpt_293,compositional_gerund_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,6.145310305477528,813.0526140004534,2.30508922781065e-08,0.0033267124162367208
LLM360/Amber,ckpt_326,compositional_gerund_reverse,True,,False,0.0,0,178,0.0,0,178,5.926626141151686,810.2720313198669,4.061697117966541e-08,0.004200269475351515
LLM360/Amber,ckpt_358,compositional_gerund_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,5.81809603230337,529.2451110437759,5.6269112898318425e-08,0.004269315149472405
LLM360/Amber,main,compositional_gerund_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,5.75709928019663,584.8680432383729,2.589002887561467e-07,0.004766537454449584
