model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse_first,correct_lower_reverse_first,total_lower_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_lower_reverse_first,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,8.182542067307692,5175.305702561938,0.00038753335010957243,0.00038753335010957243
LLM360/Amber,ckpt_032,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.02704326923077,4065.681636560017,0.00042106727360549634,0.00042106727360549634
LLM360/Amber,ckpt_065,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.876352163461538,3553.587230762106,0.0005126304341443168,0.0005126304341443168
LLM360/Amber,ckpt_097,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.887469951923077,3183.0897474560206,0.00044645825031995937,0.00044645825031995937
LLM360/Amber,ckpt_130,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.888221153846154,3572.1351423910046,0.0004643152147160983,0.0004643152147160983
LLM360/Amber,ckpt_163,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.577674278846154,2680.0504347177307,0.0006555818767522459,0.0006555818767522459
LLM360/Amber,ckpt_195,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.754056490384615,2932.0128404131347,0.0005392961423629555,0.0005392961423629555
LLM360/Amber,ckpt_228,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.618689903846154,2570.8837003537847,0.0006198028444399588,0.0006198028444399588
LLM360/Amber,ckpt_261,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.465594951923077,2010.6316974105243,0.0006594810931741242,0.0006594810931741242
LLM360/Amber,ckpt_293,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.403846153846154,1985.3454397112669,0.0007527380257900854,0.0007527380257900854
LLM360/Amber,ckpt_326,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.876201923076923,3188.993000565176,0.00047494619072260445,0.00047494619072260445
LLM360/Amber,ckpt_358,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.595703125,2372.478357086736,0.0006386974387481441,0.0006386974387481441
LLM360/Amber,main,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.305138221153846,1759.4423230473985,0.0008115039388983398,0.0008115039388983398
