model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_upper_reverse,correct_plural_upper_reverse,total_plural_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,8.360037878787878,11134.851730335857,5.608876532887302e-10,0.0004208740029947424
LLM360/Amber,ckpt_032,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,6.511529356060606,3033.9412446052943,1.432877575939038e-07,0.0031155097685077525
LLM360/Amber,ckpt_065,compositional_plural_upper_reverse,True,,False,0.012121212121212121,2,165,0.012121212121212121,2,165,6.05764678030303,1513.6326861268985,7.663712672161572e-07,0.0043873207955006654
LLM360/Amber,ckpt_097,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,6.0209872159090905,1210.0567837717076,6.028568474335815e-07,0.00478626505929649
LLM360/Amber,ckpt_130,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,6.147750946969697,1427.8582110663274,1.7593247136807785e-07,0.004082506059427473
LLM360/Amber,ckpt_163,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,6.026455965909091,2577.9990317795614,3.695395425746087e-07,0.0042557674738654665
LLM360/Amber,ckpt_195,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,6.002580492424243,1106.7386683446664,8.761187427179322e-07,0.004885637014784868
LLM360/Amber,ckpt_228,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,5.733049242424243,801.3076264974012,4.594445704798826e-07,0.005722388383132871
LLM360/Amber,ckpt_261,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,5.773070549242425,1650.7645675792178,1.1491761133959572e-06,0.006218479328988572
LLM360/Amber,ckpt_293,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,6.000094696969697,1573.434457807112,3.539012253517609e-07,0.00458042268553879
LLM360/Amber,ckpt_326,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,5.864831912878788,1509.6237876492826,7.926998495427938e-07,0.004983648034685952
LLM360/Amber,ckpt_358,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,5.883108428030303,1448.526782028406,9.046426425340798e-07,0.00462148232560721
LLM360/Amber,main,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,5.781072443181818,1297.0318083172629,3.569196085702129e-07,0.00548957382045849
