model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_last,correct_upper_last,total_upper_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_upper_last,True,,False,0.038461538461538464,1,26,0.038461538461538464,1,26,9.432241586538462,19216.830525531128,0.00011709381758560654,0.00011709381758560654
LLM360/Amber,ckpt_032,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,8.045673076923077,3796.005394574533,0.0003908277480436017,0.0003908277480436017
LLM360/Amber,ckpt_065,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,8.686147836538462,7525.057880766705,0.00020447807233857858,0.00020447807233857858
LLM360/Amber,ckpt_097,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.5204326923076925,1994.6166261493975,0.0005944152921768434,0.0005944152921768434
LLM360/Amber,ckpt_130,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.885066105769231,3228.9336414199156,0.0004456050532209196,0.0004456050532209196
LLM360/Amber,ckpt_163,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.456730769230769,1989.6860225911537,0.0007101105551422375,0.0007101105551422375
LLM360/Amber,ckpt_195,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,8.132962740384615,3991.1804177700405,0.0003415595679551079,0.0003415595679551079
LLM360/Amber,ckpt_228,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,8.15264423076923,4270.681867936404,0.0003379298489555908,0.0003379298489555908
LLM360/Amber,ckpt_261,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.729116586538462,2604.983331189556,0.0005031898142248567,0.0005031898142248567
LLM360/Amber,ckpt_293,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.499549278846154,2085.3734503833543,0.0006300255448662552,0.0006300255448662552
LLM360/Amber,ckpt_326,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.9639423076923075,3583.5054807899132,0.0004242196533187552,0.0004242196533187552
LLM360/Amber,ckpt_358,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,8.188401442307692,5081.428372432924,0.00039703640034787575,0.00039703640034787575
LLM360/Amber,main,compositional_upper_last,True,,False,1.0,26,26,1.0,26,26,7.641376201923077,2712.540534816068,0.0005858874035889957,0.0005858874035889957
