model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_first,correct_upper_reverse_first,total_upper_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_upper_reverse_first,True,,False,0.11538461538461539,3,26,0.11538461538461539,3,26,9.390174278846153,19589.093361326733,0.00014402728260930268,0.00014402728260930268
LLM360/Amber,ckpt_032,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.8309795673076925,3318.465285380153,0.0005575391531153445,0.0005575391531153445
LLM360/Amber,ckpt_065,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.559194711538462,7192.722373301075,0.0002529436498737088,0.0002529436498737088
LLM360/Amber,ckpt_097,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.375150240384615,1868.6737595180368,0.0006908275981542969,0.0006908275981542969
LLM360/Amber,ckpt_130,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.885967548076923,2974.61626744484,0.000419846992677677,0.000419846992677677
LLM360/Amber,ckpt_163,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.429837740384615,2018.6183216554532,0.0007378073339141444,0.0007378073339141444
LLM360/Amber,ckpt_195,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.101111778846153,5101.505390932084,0.0003890699968992535,0.0003890699968992535
LLM360/Amber,ckpt_228,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.313551682692308,5541.689450639912,0.0003065989259297738,0.0003065989259297738
LLM360/Amber,ckpt_261,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.777193509615385,2701.2327897845494,0.0004808445670234769,0.0004808445670234769
LLM360/Amber,ckpt_293,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.404146634615385,2015.0807106439452,0.0007314406721655968,0.0007314406721655968
LLM360/Amber,ckpt_326,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.933143028846154,3314.434525170017,0.000421684001647626,0.000421684001647626
LLM360/Amber,ckpt_358,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.9169170673076925,3857.521118569726,0.00045413861153759545,0.00045413861153759545
LLM360/Amber,main,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.507512019230769,2243.278846485913,0.0006786306671375101,0.0006786306671375101
