model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_pronoun_simple,accuracy_pronoun_hard,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,coreference,True,,False,0.0,0,40,0.0,0.0,9.33876953125,55156.49919568235,7.491137079590336e-07,0.0003106356275996479
LLM360/Amber,ckpt_032,coreference,True,,False,0.8,32,40,0.85,0.75,4.852685546875,1179.1620644401098,0.0001550019075032179,0.01865041866449923
LLM360/Amber,ckpt_065,coreference,True,,False,0.925,37,40,1.0,0.85,4.114501953125,254.70760473549785,0.000657603078838284,0.033258769269900554
LLM360/Amber,ckpt_097,coreference,True,,False,0.9,36,40,1.0,0.8,4.332763671875,328.66233036675317,0.0004032928725365718,0.028598999156111738
LLM360/Amber,ckpt_130,coreference,True,,False,0.825,33,40,0.95,0.7,4.132275390625,184.97018972661488,0.0005397269844332768,0.029662707348211647
LLM360/Amber,ckpt_163,coreference,True,,False,0.825,33,40,1.0,0.65,4.179736328125,248.87486743422087,0.0004841711713956528,0.030501489905971547
LLM360/Amber,ckpt_195,coreference,True,,False,0.925,37,40,1.0,0.85,4.231884765625,238.18435055966467,0.0004473342900726509,0.02907824204920787
LLM360/Amber,ckpt_228,coreference,True,,False,0.875,35,40,1.0,0.75,4.224609375,244.55214664608297,0.00044982986225985754,0.028893988428242794
LLM360/Amber,ckpt_261,coreference,True,,False,0.825,33,40,1.0,0.65,4.221826171875,302.78981689616774,0.00043097905474584334,0.02989627623065297
LLM360/Amber,ckpt_293,coreference,True,,False,0.825,33,40,1.0,0.65,4.2103515625,282.1240238484224,0.00045629995477525947,0.028938338105166817
LLM360/Amber,ckpt_326,coreference,True,,False,0.9,36,40,0.95,0.85,4.26318359375,242.06611246545881,0.0004143548597442862,0.027204291614714427
LLM360/Amber,ckpt_358,coreference,True,,False,0.875,35,40,1.0,0.75,4.229248046875,261.05036146106306,0.00043337806497796214,0.028373673249167335
LLM360/Amber,main,coreference,True,,False,0.85,34,40,0.95,0.75,4.32802734375,344.30715110281557,0.00034758723183270386,0.026528342881777293
