model,checkpoint,task,success,error,cached
LLM360/Amber,ckpt_000,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_032,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_065,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_097,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_130,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_163,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_195,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_228,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_261,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_293,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_326,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,ckpt_358,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
LLM360/Amber,main,fact_extraction_extract_number,False,"Task 'fact_extraction:extract_number' not found. Available tasks: ['textfrct', 'multistep_arithmetic', 'part_of_speech', 'coreference', 'logical_ops', 'math', 'ignoring_context', 'fact_extraction', 'simple', 'basic_arithmetic', 'copying', 'token_reversal', 'string_analogy', 'compositional', 'simple_icl', 'ioi_task']",False
