model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,ignoring_context,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_ignoring_context_detailed.jsonl,1.0,0.0,0,1,,,,
LLM360/Amber,ckpt_032,ignoring_context,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_065,ignoring_context,True,,True,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_097,ignoring_context,True,,True,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_130,ignoring_context,True,,True,results/amber/Amber_ckpt_130/LLM360_Amber_ckpt_130_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_163,ignoring_context,True,,True,results/amber/Amber_ckpt_163/LLM360_Amber_ckpt_163_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_195,ignoring_context,True,,True,results/amber/Amber_ckpt_195/LLM360_Amber_ckpt_195_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_228,ignoring_context,True,,True,results/amber/Amber_ckpt_228/LLM360_Amber_ckpt_228_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
LLM360/Amber,ckpt_261,ignoring_context,True,,False,,,1.0,1,1,7.69921875,2206.623393777401,0.00045318109235131115,0.00045318109235131115
LLM360/Amber,ckpt_293,ignoring_context,True,,False,,,1.0,1,1,7.75390625,2330.6587921328046,0.00042906323455648,0.00042906323455648
LLM360/Amber,ckpt_326,ignoring_context,True,,False,,,1.0,1,1,7.7578125,2339.7807327306596,0.000427390475530988,0.000427390475530988
LLM360/Amber,ckpt_358,ignoring_context,True,,False,,,1.0,1,1,7.7578125,2339.7807327306596,0.000427390475530988,0.000427390475530988
LLM360/Amber,main,ignoring_context,True,,False,,,1.0,1,1,7.55859375,1917.1476280156185,0.0005216082399637996,0.0005216082399637996
