model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_negation,accuracy_conjunction,accuracy_conditional,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,logical_ops,True,,False,0.0,0,60,0.0,0.0,0.0,9.792122395833333,85780.76449803518,2.2189554753377597e-06,0.000662982997515012
LLM360/Amber,ckpt_032,logical_ops,True,,False,0.85,51,60,1.0,0.8,0.75,5.383951822916667,9077.761991786838,0.0001657177735867727,0.0547005297972676
LLM360/Amber,ckpt_065,logical_ops,True,,False,0.8833333333333333,53,60,1.0,0.8,0.85,5.0703125,3727.489209249101,0.0001908032781937196,0.06311730842094365
LLM360/Amber,ckpt_097,logical_ops,True,,False,0.8833333333333333,53,60,1.0,0.75,0.9,4.673811848958334,1473.6714927281866,0.00031590405452985073,0.06590928611470766
LLM360/Amber,ckpt_130,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.95,0.95,4.581917317708333,995.4023003172866,0.00033900011587893985,0.06425384039609423
LLM360/Amber,ckpt_163,logical_ops,True,,False,0.9333333333333333,56,60,1.0,0.8,1.0,4.690625,1674.3698578031406,0.00032388096604231713,0.06765540194881092
LLM360/Amber,ckpt_195,logical_ops,True,,False,1.0,60,60,1.0,1.0,1.0,4.694759114583333,1241.9871016053648,0.000275398616223905,0.06221613362735255
LLM360/Amber,ckpt_228,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,4.518229166666667,1064.2561223286207,0.00040916350025596126,0.07181487313313202
LLM360/Amber,ckpt_261,logical_ops,True,,False,0.95,57,60,1.0,0.85,1.0,4.392220052083333,947.4034016912319,0.000506933472390624,0.07010097559742585
LLM360/Amber,ckpt_293,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,4.718603515625,1075.9719094431205,0.0002675538701837592,0.057851200086492215
LLM360/Amber,ckpt_326,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,4.695572916666666,957.0137854450935,0.0002744187436520318,0.0627897086080578
LLM360/Amber,ckpt_358,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,4.656380208333333,1089.540119168495,0.00028912726445397475,0.06318967562822872
LLM360/Amber,main,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,4.782649739583333,1604.132843490678,0.0002446171542510637,0.06240356023862146
