model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_two_step,accuracy_three_step,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,multistep_arithmetic,True,,False,0.025,1,40,0.0,0.05,7.1771484375,9077.63646461015,4.749007611032115e-05,0.002326416916139727
LLM360/Amber,ckpt_032,multistep_arithmetic,True,,False,0.05,2,40,0.0,0.1,7.23271484375,9155.58236096922,3.460606516160633e-05,0.0028851864720353866
LLM360/Amber,ckpt_065,multistep_arithmetic,True,,False,0.1,4,40,0.15,0.05,7.87470703125,35379.22928324181,1.7384000986678514e-05,0.002332964617840564
LLM360/Amber,ckpt_097,multistep_arithmetic,True,,False,0.175,7,40,0.15,0.2,7.4705078125,17297.29833521265,3.136623816667838e-05,0.002987925885348488
LLM360/Amber,ckpt_130,multistep_arithmetic,True,,False,0.175,7,40,0.1,0.25,7.79873046875,28052.627245066087,2.162495583460151e-05,0.002177807478611781
LLM360/Amber,ckpt_163,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,8.07783203125,37146.65017032745,1.5159399940309255e-05,0.0017034239628366803
LLM360/Amber,ckpt_195,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,7.6294921875,23013.07890919358,3.1170099982842265e-05,0.0028881986965726032
LLM360/Amber,ckpt_228,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,7.30791015625,13515.166765106478,5.4660012468901246e-05,0.003674066883679384
LLM360/Amber,ckpt_261,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,7.38662109375,16277.823863585927,3.829591028031164e-05,0.0033228767907567125
LLM360/Amber,ckpt_293,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,7.7466796875,36403.51004105047,2.805011753204576e-05,0.0028194336742153386
LLM360/Amber,ckpt_326,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,7.293994140625,16772.75085057564,4.8602668852504e-05,0.003746289002936741
LLM360/Amber,ckpt_358,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,6.86279296875,7944.561096788675,7.229869792802888e-05,0.0043604292149796555
LLM360/Amber,main,multistep_arithmetic,True,,False,0.025,1,40,0.0,0.05,7.3248046875,16829.959665846913,4.121436285787113e-05,0.0033883454471301706
