model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_first_letter,correct_first_letter,total_first_letter,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_first_letter,True,,False,0.0,0,190,0.0,0,190,8.510978618421053,16657.499735727506,0.0004694842852907983,0.0004694842852907983
LLM360/Amber,ckpt_032,simple_icl_first_letter,True,,False,0.9631578947368421,183,190,0.9631578947368421,183,190,7.169839638157895,1658.6874383310794,0.0009677875877097821,0.0009677875877097821
LLM360/Amber,ckpt_065,simple_icl_first_letter,True,,False,0.9526315789473684,181,190,0.9526315789473684,181,190,7.616879111842105,2595.065017680085,0.0006190812976945754,0.0006190812976945754
LLM360/Amber,ckpt_097,simple_icl_first_letter,True,,False,0.9842105263157894,187,190,0.9842105263157894,187,190,7.3530222039473685,1908.2645269148036,0.0007797752594125585,0.0007797752594125585
LLM360/Amber,ckpt_130,simple_icl_first_letter,True,,False,0.9894736842105263,188,190,0.9894736842105263,188,190,7.2485608552631575,1663.3832523107283,0.0008376311640807079,0.0008376311640807079
LLM360/Amber,ckpt_163,simple_icl_first_letter,True,,False,0.9789473684210527,186,190,0.9789473684210527,186,190,6.8500205592105265,1189.1221642095745,0.0013162367413315907,0.0013162367413315907
LLM360/Amber,ckpt_195,simple_icl_first_letter,True,,False,0.9578947368421052,182,190,0.9578947368421052,182,190,7.113240131578947,1654.6232242247117,0.0010117915438029525,0.0010117915438029525
LLM360/Amber,ckpt_228,simple_icl_first_letter,True,,False,0.968421052631579,184,190,0.968421052631579,184,190,6.8959087171052635,1230.5165220835165,0.001209738280146454,0.001209738280146454
LLM360/Amber,ckpt_261,simple_icl_first_letter,True,,False,0.9526315789473684,181,190,0.9526315789473684,181,190,6.968564967105263,1429.1651929882714,0.0011606316484713659,0.0011606316484713659
LLM360/Amber,ckpt_293,simple_icl_first_letter,True,,False,0.968421052631579,184,190,0.968421052631579,184,190,6.806496710526316,1102.975125132711,0.0012776381564070045,0.0012776381564070045
LLM360/Amber,ckpt_326,simple_icl_first_letter,True,,False,0.9473684210526315,180,190,0.9473684210526315,180,190,6.60993009868421,1148.2794941987365,0.0016412297146463633,0.0016412297146463633
LLM360/Amber,ckpt_358,simple_icl_first_letter,True,,False,0.9631578947368421,183,190,0.9631578947368421,183,190,6.557421875,948.2836424398149,0.0017269207232588457,0.0017269207232588457
LLM360/Amber,main,simple_icl_first_letter,True,,False,0.9368421052631579,178,190,0.9368421052631579,178,190,6.186533717105263,614.3558092047724,0.00250801951564197,0.00250801951564197
