model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng,correct_translate_fr_eng,total_translate_fr_eng,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_translate_fr_eng,True,,False,0.0,0,175,0.0,0,175,11.510982142857143,770890.9757194654,3.2461766484784575e-06,8.979621967406807e-05
LLM360/Amber,ckpt_032,simple_icl_translate_fr_eng,True,,False,0.6971428571428572,122,175,0.6971428571428572,122,175,6.806227678571428,162385.42165807355,0.0007189739206560192,0.009843519993437288
LLM360/Amber,ckpt_065,simple_icl_translate_fr_eng,True,,False,0.7771428571428571,136,175,0.7771428571428571,136,175,6.661908482142858,129508.8625818118,0.0005912952192714952,0.008908647976418748
LLM360/Amber,ckpt_097,simple_icl_translate_fr_eng,True,,False,0.8,140,175,0.8,140,175,6.192310267857143,31091.934813670367,0.0009863857055833964,0.012802627644532811
LLM360/Amber,ckpt_130,simple_icl_translate_fr_eng,True,,False,0.8457142857142858,148,175,0.8457142857142858,148,175,5.883861607142857,42891.859975476145,0.0012458684060533411,0.014977331150613274
LLM360/Amber,ckpt_163,simple_icl_translate_fr_eng,True,,False,0.8342857142857143,146,175,0.8342857142857143,146,175,5.806897321428571,57040.35593415854,0.001258513132871611,0.015126073265810214
LLM360/Amber,ckpt_195,simple_icl_translate_fr_eng,True,,False,0.8342857142857143,146,175,0.8342857142857143,146,175,5.880630580357143,44599.37273327276,0.0013771628650628553,0.015555891493395268
LLM360/Amber,ckpt_228,simple_icl_translate_fr_eng,True,,False,0.84,147,175,0.84,147,175,5.447260044642857,35596.63555345519,0.002256225212456717,0.01943481155422077
LLM360/Amber,ckpt_261,simple_icl_translate_fr_eng,True,,False,0.8285714285714286,145,175,0.8285714285714286,145,175,5.1945703125,31137.756009167166,0.003026748615582904,0.021964391887825948
LLM360/Amber,ckpt_293,simple_icl_translate_fr_eng,True,,False,0.8228571428571428,144,175,0.8228571428571428,144,175,5.71953125,67147.48354724607,0.0015833552887437978,0.016820296767511896
LLM360/Amber,ckpt_326,simple_icl_translate_fr_eng,True,,False,0.8171428571428572,143,175,0.8171428571428572,143,175,5.98375,49107.981902232896,0.001125942097081082,0.013809209474230847
LLM360/Amber,ckpt_358,simple_icl_translate_fr_eng,True,,False,0.84,147,175,0.84,147,175,6.157198660714286,63585.437508322706,0.0008303092904718726,0.012723506525753379
LLM360/Amber,main,simple_icl_translate_fr_eng,True,,False,0.8628571428571429,151,175,0.8628571428571429,151,175,5.844107142857143,42976.67712582734,0.0012385053715679116,0.01526909444797883
