model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV3,correct_CV3,total_CV3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,10.444227430555555,574162.7384045904,5.453584166487995e-07,0.0003130723284850824
LLM360/Amber,ckpt_032,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.545789930555555,11316378.474454928,4.54125235571624e-08,0.0013980287637454904
LLM360/Amber,ckpt_065,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.652994791666666,21895429.277312525,3.661390365403008e-08,0.0011620160542616664
LLM360/Amber,ckpt_097,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.180013020833334,8430961.372179545,1.090144222151893e-07,0.0016138580480835989
LLM360/Amber,ckpt_130,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.827690972222221,3938428.5687627858,2.9164007505626225e-07,0.001948395525492909
LLM360/Amber,ckpt_163,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.278645833333334,7115056.92490025,1.3628147508789524e-07,0.001537131794580958
LLM360/Amber,ckpt_195,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.03298611111111,3512125.6594136436,1.8946998926801012e-07,0.0017375816959480932
LLM360/Amber,ckpt_228,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.66482204861111,2378508.8739323034,4.2445717570957983e-07,0.002331507038991219
LLM360/Amber,ckpt_261,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.702582465277779,1417480.5986409197,2.7045777956879394e-07,0.002078934761954904
LLM360/Amber,ckpt_293,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,9.071831597222221,4217343.897442574,1.664808787837639e-07,0.0018097091011107617
LLM360/Amber,ckpt_326,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.75509982638889,3549623.9613958052,2.881535884069343e-07,0.0021398616230388716
LLM360/Amber,ckpt_358,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.92578125,5914366.940136407,2.4803707855360086e-07,0.0021754235875320726
LLM360/Amber,main,textfrct_CV3,True,,False,0.0,0,36,0.0,0,36,8.746419270833334,4202716.937934109,3.242374824883459e-07,0.0022020516252906574
