model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RL3,correct_RL3,total_RL3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,6.3818359375,777.8499438005013,0.00216709879110145,0.00216709879110145
LLM360/Amber,ckpt_032,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.35234375,23707.33331941392,0.0001552621077910424,0.0001552621077910424
LLM360/Amber,ckpt_065,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,8.6849609375,8345.06954779125,0.0002576767008885605,0.0002576767008885605
LLM360/Amber,ckpt_097,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.6923828125,27124.77824194447,0.00011034647189116088,0.00011034647189116088
LLM360/Amber,ckpt_130,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.6052734375,22250.284516527056,0.00010786582800760493,0.00010786582800760493
LLM360/Amber,ckpt_163,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.325390625,17836.488632288114,0.00015394015141892764,0.00015394015141892764
LLM360/Amber,ckpt_195,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.38125,17394.680743953235,0.00012791568516989316,0.00012791568516989316
LLM360/Amber,ckpt_228,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.4203125,17989.067232711215,0.00012563062816955424,0.00012563062816955424
LLM360/Amber,ckpt_261,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.4345703125,18952.959255344642,0.00013216732405752662,0.00013216732405752662
LLM360/Amber,ckpt_293,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.366796875,17193.140683452577,0.00014271644917448703,0.00014271644917448703
LLM360/Amber,ckpt_326,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.7828125,24942.038253769402,8.580162771212941e-05,8.580162771212941e-05
LLM360/Amber,ckpt_358,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.884375,30271.8096233501,7.714987974715214e-05,7.714987974715214e-05
LLM360/Amber,main,textfrct_RL3,True,,False,0.0,0,20,0.0,0,20,9.5943359375,21422.11575232288,0.00010240871175706012,0.00010240871175706012
