model,checkpoint,compositional_lower_last
LLM360/Amber,ckpt_000,8.027193509615385
LLM360/Amber,ckpt_032,8.201772836538462
LLM360/Amber,ckpt_065,7.786658653846154
LLM360/Amber,ckpt_097,7.843599759615385
LLM360/Amber,ckpt_130,7.839543269230769
LLM360/Amber,ckpt_163,7.575420673076923
LLM360/Amber,ckpt_195,7.8408954326923075
LLM360/Amber,ckpt_228,7.9658954326923075
LLM360/Amber,ckpt_261,7.5926983173076925
LLM360/Amber,ckpt_293,7.677734375
LLM360/Amber,ckpt_326,7.816556490384615
LLM360/Amber,ckpt_358,7.771935096153846
LLM360/Amber,main,7.30078125
