model,checkpoint,compositional_lower_reverse_first
LLM360/Amber,ckpt_000,8.182542067307692
LLM360/Amber,ckpt_032,8.02704326923077
LLM360/Amber,ckpt_065,7.876352163461538
LLM360/Amber,ckpt_097,7.887469951923077
LLM360/Amber,ckpt_130,7.888221153846154
LLM360/Amber,ckpt_163,7.577674278846154
LLM360/Amber,ckpt_195,7.754056490384615
LLM360/Amber,ckpt_228,7.618689903846154
LLM360/Amber,ckpt_261,7.465594951923077
LLM360/Amber,ckpt_293,7.403846153846154
LLM360/Amber,ckpt_326,7.876201923076923
LLM360/Amber,ckpt_358,7.595703125
LLM360/Amber,main,7.305138221153846
