model,checkpoint,compositional_lower_reverse_last
LLM360/Amber,ckpt_000,8.045072115384615
LLM360/Amber,ckpt_032,8.088341346153847
LLM360/Amber,ckpt_065,7.716796875
LLM360/Amber,ckpt_097,7.695913461538462
LLM360/Amber,ckpt_130,7.954627403846154
LLM360/Amber,ckpt_163,7.5848858173076925
LLM360/Amber,ckpt_195,7.883563701923077
LLM360/Amber,ckpt_228,7.658203125
LLM360/Amber,ckpt_261,7.469951923076923
LLM360/Amber,ckpt_293,7.441256009615385
LLM360/Amber,ckpt_326,7.893028846153846
LLM360/Amber,ckpt_358,7.660757211538462
LLM360/Amber,main,7.071664663461538
