model,checkpoint,compositional_plural_first
LLM360/Amber,ckpt_000,8.31339962121212
LLM360/Amber,ckpt_032,7.097916666666666
LLM360/Amber,ckpt_065,7.332504734848484
LLM360/Amber,ckpt_097,7.755113636363636
LLM360/Amber,ckpt_130,8.25546875
LLM360/Amber,ckpt_163,7.847750946969697
LLM360/Amber,ckpt_195,7.679356060606061
LLM360/Amber,ckpt_228,7.4382102272727275
LLM360/Amber,ckpt_261,7.400355113636364
LLM360/Amber,ckpt_293,7.4813920454545455
LLM360/Amber,ckpt_326,7.824573863636363
LLM360/Amber,ckpt_358,7.849408143939394
LLM360/Amber,main,7.559161931818182
