model,checkpoint,compositional_plural_upper_reverse
LLM360/Amber,ckpt_000,8.360037878787878
LLM360/Amber,ckpt_032,6.511529356060606
LLM360/Amber,ckpt_065,6.05764678030303
LLM360/Amber,ckpt_097,6.0209872159090905
LLM360/Amber,ckpt_130,6.147750946969697
LLM360/Amber,ckpt_163,6.026455965909091
LLM360/Amber,ckpt_195,6.002580492424243
LLM360/Amber,ckpt_228,5.733049242424243
LLM360/Amber,ckpt_261,5.773070549242425
LLM360/Amber,ckpt_293,6.000094696969697
LLM360/Amber,ckpt_326,5.864831912878788
LLM360/Amber,ckpt_358,5.883108428030303
LLM360/Amber,main,5.781072443181818
