model,checkpoint,compositional_translate_sp_eng_reverse
LLM360/Amber,ckpt_000,9.415445049157304
LLM360/Amber,ckpt_032,10.01119206460674
LLM360/Amber,ckpt_065,9.602220856741573
LLM360/Amber,ckpt_097,9.487974016853933
LLM360/Amber,ckpt_130,9.577422752808989
LLM360/Amber,ckpt_163,9.447287570224718
LLM360/Amber,ckpt_195,9.35766327247191
LLM360/Amber,ckpt_228,9.166893433988765
LLM360/Amber,ckpt_261,9.306684515449438
LLM360/Amber,ckpt_293,9.51975070224719
LLM360/Amber,ckpt_326,9.355534585674157
LLM360/Amber,ckpt_358,9.49267029494382
LLM360/Amber,main,9.379454880617978
