model,checkpoint,compositional_translate_sp_eng_upper
LLM360/Amber,ckpt_000,9.19386411516854
LLM360/Amber,ckpt_032,4.413897910814606
LLM360/Amber,ckpt_065,3.8195883075842696
LLM360/Amber,ckpt_097,3.614877765098315
LLM360/Amber,ckpt_130,3.619974543539326
LLM360/Amber,ckpt_163,3.556497981039326
LLM360/Amber,ckpt_195,3.4581449701544944
LLM360/Amber,ckpt_228,3.264944698033708
LLM360/Amber,ckpt_261,3.237400697858146
LLM360/Amber,ckpt_293,3.3470801878511236
LLM360/Amber,ckpt_326,3.4356538579705056
LLM360/Amber,ckpt_358,3.5267676878511236
LLM360/Amber,main,3.4343344013342696
