model,checkpoint,compositional_upper_last
LLM360/Amber,ckpt_000,9.432241586538462
LLM360/Amber,ckpt_032,8.045673076923077
LLM360/Amber,ckpt_065,8.686147836538462
LLM360/Amber,ckpt_097,7.5204326923076925
LLM360/Amber,ckpt_130,7.885066105769231
LLM360/Amber,ckpt_163,7.456730769230769
LLM360/Amber,ckpt_195,8.132962740384615
LLM360/Amber,ckpt_228,8.15264423076923
LLM360/Amber,ckpt_261,7.729116586538462
LLM360/Amber,ckpt_293,7.499549278846154
LLM360/Amber,ckpt_326,7.9639423076923075
LLM360/Amber,ckpt_358,8.188401442307692
LLM360/Amber,main,7.641376201923077
