model,checkpoint,compositional_upper_reverse_first
LLM360/Amber,ckpt_000,9.390174278846153
LLM360/Amber,ckpt_032,7.8309795673076925
LLM360/Amber,ckpt_065,8.559194711538462
LLM360/Amber,ckpt_097,7.375150240384615
LLM360/Amber,ckpt_130,7.885967548076923
LLM360/Amber,ckpt_163,7.429837740384615
LLM360/Amber,ckpt_195,8.101111778846153
LLM360/Amber,ckpt_228,8.313551682692308
LLM360/Amber,ckpt_261,7.777193509615385
LLM360/Amber,ckpt_293,7.404146634615385
LLM360/Amber,ckpt_326,7.933143028846154
LLM360/Amber,ckpt_358,7.9169170673076925
LLM360/Amber,main,7.507512019230769
