model,checkpoint,simple_icl_lowercase
LLM360/Amber,ckpt_000,8.198016826923077
LLM360/Amber,ckpt_032,8.213641826923077
LLM360/Amber,ckpt_065,8.37109375
LLM360/Amber,ckpt_097,7.721454326923077
LLM360/Amber,ckpt_130,7.5262920673076925
LLM360/Amber,ckpt_163,7.3623798076923075
LLM360/Amber,ckpt_195,7.2723858173076925
LLM360/Amber,ckpt_228,7.540414663461538
LLM360/Amber,ckpt_261,7.724759615384615
LLM360/Amber,ckpt_293,7.338491586538462
LLM360/Amber,ckpt_326,8.236177884615385
LLM360/Amber,ckpt_358,7.887319711538462
LLM360/Amber,main,7.644981971153846
