model,checkpoint,simple_icl_translate_eng_fr
LLM360/Amber,ckpt_000,10.187906430635838
LLM360/Amber,ckpt_032,5.412126309609826
LLM360/Amber,ckpt_065,5.317659411127168
LLM360/Amber,ckpt_097,5.132897173049133
LLM360/Amber,ckpt_130,5.135160765895954
LLM360/Amber,ckpt_163,4.992068957731214
LLM360/Amber,ckpt_195,4.975478684971098
LLM360/Amber,ckpt_228,4.741323834898844
LLM360/Amber,ckpt_261,4.671807261560693
LLM360/Amber,ckpt_293,4.8943901282514455
LLM360/Amber,ckpt_326,5.1499221007947975
LLM360/Amber,ckpt_358,5.32663475433526
LLM360/Amber,main,5.189983742774566
