model,checkpoint,textfrct_RG3
LLM360/Amber,ckpt_000,8.358333333333333
LLM360/Amber,ckpt_032,9.231510416666667
LLM360/Amber,ckpt_065,9.507552083333334
LLM360/Amber,ckpt_097,9.5359375
LLM360/Amber,ckpt_130,8.33515625
LLM360/Amber,ckpt_163,8.769401041666667
LLM360/Amber,ckpt_195,8.684895833333334
LLM360/Amber,ckpt_228,8.470052083333334
LLM360/Amber,ckpt_261,8.369401041666666
LLM360/Amber,ckpt_293,8.562239583333334
LLM360/Amber,ckpt_326,8.944140625
LLM360/Amber,ckpt_358,9.115755208333333
LLM360/Amber,main,9.26484375
