model,checkpoint,compositional:gerund_last
allenai/OLMo-2-0425-1B,main,1.0
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,1.0
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,1.0
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,1.0
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,1.0
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,1.0
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,1.0
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,1.0
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,1.0
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,1.0
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,1.0
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,1.0
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,1.0
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,1.0
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,1.0
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,1.0
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,1.0
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,1.0
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,1.0
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,1.0
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,1.0
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,1.0
