model,checkpoint,compositional_gerund_lower
allenai/OLMo-2-0425-1B,main,0.9831460674157303
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.8595505617977528
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.9887640449438202
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.9775280898876404
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.9943820224719101
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.9719101123595506
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.9775280898876404
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.9550561797752809
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.9943820224719101
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.9606741573033708
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.9662921348314607
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.9550561797752809
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.9550561797752809
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.9662921348314607
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.9606741573033708
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.9662921348314607
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.9719101123595506
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.9775280898876404
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.9831460674157303
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.949438202247191
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.9831460674157303
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.9662921348314607
