model,checkpoint,compositional_translate_eng_fr_lower
allenai/OLMo-2-0425-1B,main,0.791907514450867
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.10404624277456648
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.5086705202312138
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.4913294797687861
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.47398843930635837
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.5317919075144508
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.5433526011560693
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.1907514450867052
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.5549132947976878
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.5953757225433526
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.5260115606936416
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.27167630057803466
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.5606936416184971
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.5895953757225434
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.3236994219653179
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.5433526011560693
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.36416184971098264
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.5895953757225434
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.41040462427745666
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.4277456647398844
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.43352601156069365
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.49710982658959535
