model,checkpoint,compositional:translate_eng_sp_reverse
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.0
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.0
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.0
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.0
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.0
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.0
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.0
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.0
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.0
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.0
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.0
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.0
