model,checkpoint,logical_ops_conditional
allenai/OLMo-2-0425-1B,main,1.0
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,0.0
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.7
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,0.95
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,1.0
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,1.0
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,1.0
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,0.95
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,0.9
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,1.0
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,1.0
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,0.95
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,1.0
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,1.0
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,0.75
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.95
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,1.0
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,1.0
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,0.85
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,0.95
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,1.0
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,1.0
