model,checkpoint,simple_icl_translate_sp_eng
allenai/OLMo-2-0425-1B,main,0.8258426966292135
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.0
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.6067415730337079
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.6292134831460674
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.6629213483146067
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.651685393258427
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.6685393258426966
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.24719101123595505
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.6797752808988764
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.6235955056179775
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.5842696629213483
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.3707865168539326
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.6966292134831461
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.7191011235955056
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.48314606741573035
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.702247191011236
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.5561797752808989
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.7471910112359551
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.6235955056179775
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.6235955056179775
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.6235955056179775
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.6685393258426966
