model,checkpoint,simple_icl_uppercase
allenai/OLMo-2-0425-1B,main,0.8076923076923077
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.07692307692307693
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.8076923076923077
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.6923076923076923
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.3076923076923077
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.9230769230769231
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.9230769230769231
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.038461538461538464
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.6923076923076923
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.5384615384615384
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.38461538461538464
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.07692307692307693
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.4230769230769231
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.7692307692307693
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.11538461538461539
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.7307692307692307
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.07692307692307693
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,1.0
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.8076923076923077
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.6153846153846154
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.15384615384615385
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.5384615384615384
