model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_upper,correct_gerund_upper,total_gerund_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:gerund_upper,True,,False,0.0,0,10,0.0,0,10,10.953125,202492.11233204886,7.577288760876482e-08,3.849807230211653e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:gerund_upper,True,,False,0.4,4,10,0.4,4,10,3.728515625,714.3354189531261,0.00027361456569791867,0.04477173265687813
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:gerund_upper,True,,False,0.7,7,10,0.7,7,10,3.2958984375,131.1338652920463,0.0005646197488853018,0.05652239779074839
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.2966796875,95.64518909709469,0.0006116215475144608,0.053977791241203645
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:gerund_upper,True,,False,0.9,9,10,0.9,9,10,3.8033203125,1879.9964011455656,0.000314939859367141,0.04501070946309856
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.4693359375,142.2123431992201,0.00037329376131868357,0.04713221252403611
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.171875,1121.336648623932,0.001687089012707202,0.08908353147974145
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:gerund_upper,True,,False,0.9,9,10,0.9,9,10,3.88125,8670.731734387977,0.0005044386663725368,0.055323526215985186
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:gerund_upper,True,,False,0.9,9,10,0.9,9,10,3.520703125,636.779452886256,0.00037424279121170737,0.053692994715037926
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.02158203125,48.056843537010224,0.0013715264586746751,0.07379288640894542
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:gerund_upper,True,,False,0.9,9,10,0.9,9,10,3.2982421875,92.09627878379207,0.0006592733557578819,0.056535706430198895
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.156640625,142.35417123085375,0.0008077365864544358,0.06569662631206122
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.3029296875,305.2432991352464,0.0006872265336276849,0.06415911734174806
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.508984375,392.25143610936726,0.0004251390222107899,0.05259462606462863
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.6953125,405.1688851609878,0.0003569788522644492,0.04757488558089878
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.6884765625,2698.2272340803115,0.0004417564468227016,0.05269655863179
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.4765625,175.51908001551644,0.0005440214476338181,0.05447464509646386
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.28896484375,185.7005031069675,0.0010211441667689776,0.07025536429010588
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.42998046875,85.01179398227355,0.0007911960431126273,0.05485138311931115
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.3744140625,614.6068173620988,0.0007061978298616102,0.06362016044874916
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.546875,665.036978477035,0.0004685012268774946,0.05085808642098005
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:gerund_upper,True,,False,0.9,9,10,0.9,9,10,3.403125,64.81802727757771,0.0004894578093142983,0.045480590605547835
allenai/OLMo-2-0425-1B,main,compositional:gerund_upper,True,,False,1.0,10,10,1.0,10,10,3.7521484375,8797.464717450905,0.0006365367698407142,0.05172110821604663
