model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse_first,correct_lower_reverse_first,total_lower_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_lower_reverse_first,True,,False,0.0,0,26,0.0,0,26,7.181790865384615,1615.6209463053926,0.0009107266294838874,0.0009107266294838874
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_lower_reverse_first,True,,False,0.8076923076923077,21,26,0.8076923076923077,21,26,9.010967548076923,13510.900406043877,0.00020418735218012275,0.00020418735218012275
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_lower_reverse_first,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,8.20282451923077,6280.0928983665935,0.00046893449288966014,0.00046893449288966014
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.680138221153846,3153.4655734225544,0.0008599572769330682,0.0008599572769330682
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.218149038461538,6263.768484847657,0.0004166433950421585,0.0004166433950421585
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.968599759615385,10660.251210805047,0.00017558035191342488,0.00017558035191342488
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.883413461538462,3384.428628454811,0.00048193097363522874,0.00048193097363522874
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.03485576923077,4165.111098616693,0.0004226611624779415,0.0004226611624779415
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.779897836538462,8342.596118122834,0.0002060439304382998,0.0002060439304382998
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.258864182692308,5724.838411996929,0.0003645047917148189,0.0003645047917148189
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.116135817307692,4679.6866554347225,0.0004317249028877101,0.0004317249028877101
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.464092548076923,6130.354299204902,0.0002665902874699742,0.0002665902874699742
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.333233173076923,5757.205863415837,0.00036069368708221516,0.00036069368708221516
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.141075721153847,11649.457370743847,0.00013103958757945997,0.00013103958757945997
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.079477163461538,13009.99943537166,0.0001596212928209888,0.0001596212928209888
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.768329326923077,10656.55576535653,0.0002212222772720717,0.0002212222772720717
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.780048076923077,9376.803368945268,0.00021551131792088427,0.00021551131792088427
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.935997596153846,4068.1632480791714,0.0005140898682814825,0.0005140898682814825
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.245042067307692,5306.271089631847,0.0003631436593642945,0.0003631436593642945
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.437800480769231,2652.605796342507,0.0008164573344340119,0.0008164573344340119
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.351412259615385,2079.2789988567934,0.0008456497484130093,0.0008456497484130093
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.277944711538462,5240.3436092416105,0.0003171247864601869,0.0003171247864601869
allenai/OLMo-2-0425-1B,main,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.431039663461538,5820.779808257532,0.0002774111918506559,0.0002774111918506559
