model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_upper,correct_reverse_upper,total_reverse_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,10.274088541666666,79793.22629121183,2.5487292762131826e-08,5.507050203948027e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.74099392361111,499076.0947231951,3.2639760073767807e-09,0.0004016803097819097
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.390516493055555,72340.97364699878,6.21346171911764e-08,0.0006064151799395319
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.359266493055555,35280.06467976272,6.264123743142109e-08,0.000530345803089631
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.340169270833334,54229.79343106221,6.041188863111765e-08,0.0007235084735618819
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.186957465277779,121885.25497978313,2.8265495639887977e-08,0.0007306993451204045
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.360243055555555,505582.52262105397,3.19925495713849e-08,0.000655855956506073
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.212239583333334,136514.146741281,3.842107884069876e-08,0.000824592473655693
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.565321180555555,279988.8362826227,9.055212490781946e-09,0.0005211939297777908
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.976128472222222,36863.67986261221,8.954526774072698e-08,0.0007681642566357722
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.196397569444445,147507.89585994545,4.772075590717788e-08,0.0008867659663438811
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.015516493055555,365647.14491552976,6.683543919130827e-08,0.0009057569980440974
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.1279296875,108771.21079209204,2.773370257084827e-08,0.0007155488466681855
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.05642361111111,97817.53879518552,4.803266187578569e-08,0.0008657292668774091
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.938151041666667,29195.810122563827,2.1570019465301578e-07,0.001122674184896332
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.372612847222221,85137.75849849718,1.3058206455599754e-08,0.0005855119913699581
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.433159722222221,534906.6076161781,4.717908395193111e-09,0.0005446058739601402
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.024522569444445,161926.5153188625,1.5587946314637128e-08,0.0008600579553675721
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.067816840277779,242122.59006663307,1.2206402631816354e-07,0.000762248318401406
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.853732638888889,45029.238353643836,4.4465486986499024e-08,0.0010118999620127044
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.410481770833334,1367558.497218369,5.513665233374429e-08,0.0007602694578066588
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.071940104166666,950070.0357808311,4.124443833438798e-08,0.0009726050958587261
allenai/OLMo-2-0425-1B,main,compositional:reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.377387152777778,9612.650694397726,4.879015557911856e-07,0.001586931969408524
