model,checkpoint,task,success,error,cached
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_eng_sp_lower,False,division by zero,False
allenai/OLMo-2-0425-1B,main,compositional_translate_eng_sp_lower,False,division by zero,False
