model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_last,correct_translate_fr_eng_last,total_translate_fr_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_fr_eng_last,True,,False,0.0,0,171,0.0,0,171,7.720897295321637,3211.8697790066863,0.0006067710055889373,0.0006067710055889373
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_fr_eng_last,True,,False,0.08771929824561403,15,171,0.08771929824561403,15,171,10.877010233918128,131288.64091806323,4.944598364701297e-05,4.944598364701297e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,11.063939144736842,129382.44016197535,3.028528930172853e-05,3.028528930172853e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_fr_eng_last,True,,False,0.05847953216374269,10,171,0.05847953216374269,10,171,11.03312317251462,125433.23767407409,2.920562075596652e-05,2.920562075596652e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_fr_eng_last,True,,False,0.023391812865497075,4,171,0.023391812865497075,4,171,10.696363304093568,95734.58972834738,5.125038627120815e-05,5.125038627120815e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,11.584155701754385,199006.26240689657,1.9274812300769775e-05,1.9274812300769775e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_fr_eng_last,True,,False,0.05847953216374269,10,171,0.05847953216374269,10,171,11.934484649122806,276290.308611029,1.3506444916348368e-05,1.3506444916348368e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,11.349415204678362,162148.32595832762,2.2104142558632387e-05,2.2104142558632387e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_fr_eng_last,True,,False,0.03508771929824561,6,171,0.03508771929824561,6,171,11.924616228070175,293262.75402202504,1.4400343673099845e-05,1.4400343673099845e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,10.93185763888889,107753.27398650677,3.955833543762385e-05,3.955833543762385e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_fr_eng_last,True,,False,0.05263157894736842,9,171,0.05263157894736842,9,171,10.897158260233919,108065.52035795109,3.8006028907325625e-05,3.8006028907325625e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,10.4937408625731,71834.32776505343,5.410945948304177e-05,5.410945948304177e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,10.988669590643275,129948.48803199946,3.443694161085809e-05,3.443694161085809e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,11.526589912280702,199566.66116450515,1.9640923011256238e-05,1.9640923011256238e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,10.934735928362572,118541.65157403004,4.1704353165501596e-05,4.1704353165501596e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,11.006167763157896,154912.68149991072,4.147409763053203e-05,4.147409763053203e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_fr_eng_last,True,,False,0.05263157894736842,9,171,0.05263157894736842,9,171,10.572825292397662,81514.62076415219,5.872183324751314e-05,5.872183324751314e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_fr_eng_last,True,,False,0.09941520467836257,17,171,0.09941520467836257,17,171,10.301672149122806,77624.47706192071,8.53839999002017e-05,8.53839999002017e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_fr_eng_last,True,,False,0.03508771929824561,6,171,0.03508771929824561,6,171,11.220440423976608,208217.37215504865,3.142121327532626e-05,3.142121327532626e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,10.582373903508772,154160.9851868037,7.84808539353921e-05,7.84808539353921e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,10.648506030701755,106484.1837760463,6.5341657876135e-05,6.5341657876135e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_fr_eng_last,True,,False,0.04093567251461988,7,171,0.04093567251461988,7,171,10.512518274853802,105124.34031772758,7.76001598698883e-05,7.76001598698883e-05
allenai/OLMo-2-0425-1B,main,compositional_translate_fr_eng_last,True,,False,0.08187134502923976,14,171,0.08187134502923976,14,171,10.899785270467836,294006.5634006325,5.333690863729999e-05,5.333690863729999e-05
