model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,ignoring_context,True,,False,0.0,0,1,7.1796875,1312.498038515131,0.0007619059005462061,0.0007619059005462061
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,ignoring_context,True,,False,1.0,1,1,7.51953125,1843.7028557527542,0.0005423867500556189,0.0005423867500556189
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,ignoring_context,True,,False,1.0,1,1,7.9375,2800.3508727251633,0.0003570981085762476,0.0003570981085762476
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,ignoring_context,True,,False,1.0,1,1,6.5859375,724.8302576041393,0.0013796333548566381,0.0013796333548566381
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,ignoring_context,True,,False,1.0,1,1,6.890625,983.0156100192773,0.0010172778436147007,0.0010172778436147007
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,ignoring_context,True,,False,1.0,1,1,6.125,457.14471326890896,0.002187491118182885,0.002187491118182885
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,ignoring_context,True,,False,1.0,1,1,6.62109375,750.765798300995,0.0013319733028103163,0.0013319733028103163
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,ignoring_context,True,,False,1.0,1,1,7.37890625,1601.8368003527937,0.0006242833226079939,0.0006242833226079939
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,ignoring_context,True,,False,1.0,1,1,7.37109375,1589.3712074754344,0.0006291796373915728,0.0006291796373915728
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,ignoring_context,True,,False,1.0,1,1,7.23828125,1391.6999298224052,0.0007185456998101666,0.0007185456998101666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,ignoring_context,True,,False,1.0,1,1,8.59375,5397.817585348465,0.00018526005819728775,0.00018526005819728775
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,ignoring_context,True,,False,1.0,1,1,7.69140625,2189.451314290634,0.0004567354357107468,0.0004567354357107468
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,ignoring_context,True,,False,1.0,1,1,7.92578125,2767.7257968528634,0.0003613074680797802,0.0003613074680797802
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,ignoring_context,True,,False,1.0,1,1,8.65625,5745.946909852821,0.00017403571868811687,0.00017403571868811687
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,ignoring_context,True,,False,1.0,1,1,6.20703125,496.225891767423,0.0020152112507436266,0.0020152112507436266
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,ignoring_context,True,,False,1.0,1,1,8.78125,6511.010852303835,0.00015358598268134713,0.00015358598268134713
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,ignoring_context,True,,False,1.0,1,1,8.3515625,4236.795567027318,0.00023602743728832652,0.00023602743728832652
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,ignoring_context,True,,False,1.0,1,1,8.984375,7977.457255453756,0.00012535322571817655,0.00012535322571817655
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,ignoring_context,True,,False,1.0,1,1,8.09375,3273.9418610498587,0.000305442198561012,0.000305442198561012
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,ignoring_context,True,,False,1.0,1,1,8.78125,6511.010852303835,0.00015358598268134713,0.00015358598268134713
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,ignoring_context,True,,False,1.0,1,1,8.65625,5745.946909852821,0.00017403571868811687,0.00017403571868811687
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,ignoring_context,True,,False,1.0,1,1,8.1328125,3404.3608782121937,0.0002937408916898234,0.0002937408916898234
allenai/OLMo-2-0425-1B,main,ignoring_context,True,,False,1.0,1,1,11.2265625,75098.99834148776,1.3315756828777288e-05,1.3315756828777288e-05
