model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_two_step,accuracy_three_step,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,11.66328125,139650.09077622936,9.929105690424583e-06,9.929105690424583e-06
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,multistep_arithmetic,True,,False,0.075,3,40,0.1,0.05,11.83984375,350968.9378096522,1.0567700724331924e-05,1.0567700724331924e-05
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,10.63515625,109222.97344740383,3.441509961210518e-05,3.441509961210518e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,multistep_arithmetic,True,,False,0.025,1,40,0.0,0.05,10.1580078125,51044.4155771871,5.638593095077959e-05,5.638593095077959e-05
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,multistep_arithmetic,True,,False,0.05,2,40,0.1,0.0,11.8583984375,317741.455344857,1.1916864809197006e-05,1.1916864809197006e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,10.766015625,164068.79512638334,3.9005415075041405e-05,3.9005415075041405e-05
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,multistep_arithmetic,True,,False,0.075,3,40,0.05,0.1,11.8650390625,352100.2554138169,1.0802850076658467e-05,1.0802850076658467e-05
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,12.290625,449273.4213988843,6.8371977338350115e-06,6.8371977338350115e-06
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.115234375,143658.70658513514,2.6726952099810146e-05,2.6726952099810146e-05
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,12.50546875,1044080.0570717513,7.615277521454894e-06,7.615277521454894e-06
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,12.00703125,493901.71848636854,1.376938346378837e-05,1.376938346378837e-05
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.7779296875,376924.92425435653,1.5275890273489114e-05,1.5275890273489114e-05
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.5689453125,427874.5494518959,2.0117932157433386e-05,2.0117932157433386e-05
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,12.128125,1598978.1966963338,1.1340067445501507e-05,1.1340067445501507e-05
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.643359375,560804.9541281292,1.560325485219108e-05,1.560325485219108e-05
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,12.215234375,462540.4689894081,8.663966610520946e-06,8.663966610520946e-06
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.1017578125,205223.9362230795,2.494313108723525e-05,2.494313108723525e-05
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.1228515625,258857.3003452119,2.5817272478543858e-05,2.5817272478543858e-05
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.305859375,203154.0851716,1.947984870329736e-05,1.947984870329736e-05
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.1646484375,140767.57241931738,2.1142434008221728e-05,2.1142434008221728e-05
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.5763671875,187242.98459248204,1.340938280409357e-05,1.340938280409357e-05
allenai/OLMo-2-0425-1B,main,multistep_arithmetic,True,,False,0.075,3,40,0.05,0.1,13.7798828125,1798506.7428148456,2.0815371375080917e-06,2.0815371375080917e-06
