model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,part_of_speech,True,,False,0.0,0,15,10.61875,219759.95251896,2.6412211248296503e-06,4.750579813561285e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,part_of_speech,True,,False,0.0,0,15,4.9890625,68261.81564387755,0.0023045091622151547,0.027251394940760718
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,part_of_speech,True,,False,0.06666666666666667,1,15,3.7057291666666665,108.27094305845638,0.017256174856605636,0.05502849463386516
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,part_of_speech,True,,False,0.0,0,15,4.5015625,2320.332784625991,0.005062440682472702,0.023997984110988843
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,part_of_speech,True,,False,0.0,0,15,4.951953125,2790.627816296209,0.0015038499170310145,0.013684422066902107
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,part_of_speech,True,,False,0.0,0,15,6.426171875,78501.71800945704,8.610863689995824e-05,0.0062100380434668
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,part_of_speech,True,,False,0.0,0,15,5.330078125,58013.23066302565,0.001085877577073279,0.02365247545988084
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,part_of_speech,True,,False,0.0,0,15,5.635807291666667,71102.64840964366,0.0005329177938822274,0.01810436664712995
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,part_of_speech,True,,False,0.0,0,15,4.018359375,136.25808243136322,0.007354150646847123,0.05710109642167054
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,part_of_speech,True,,False,0.0,0,15,5.3583984375,55383.26010698888,0.0024660461097167643,0.024937975253385973
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,part_of_speech,True,,False,0.0,0,15,3.8731119791666666,117.43010404271976,0.004553568248481589,0.04789445979597684
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,part_of_speech,True,,False,0.0,0,15,5.948828125,1215.8914109997213,0.00015510369840726789,0.0062258321803013725
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,part_of_speech,True,,False,0.0,0,15,6.357682291666666,439589.5712514204,0.00017888796500723205,0.009484873993618149
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,part_of_speech,True,,False,0.0,0,15,5.543619791666667,40323.66767650384,0.0035069837527430406,0.01307994722921959
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,part_of_speech,True,,False,0.0,0,15,5.516536458333333,52565.57806194196,0.0008114128249783997,0.013781190796946759
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,part_of_speech,True,,False,0.0,0,15,4.562369791666667,4559.415315339702,0.0031610110064477738,0.01964410692262158
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,part_of_speech,True,,False,0.0,0,15,4.879817708333333,317.64431421983915,0.0014851553900879103,0.01659289941131414
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,part_of_speech,True,,False,0.0,0,15,5.090625,1729.2976406512103,0.000495079648575075,0.014745341758365853
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,part_of_speech,True,,False,0.0,0,15,5.46171875,77483.16117784887,0.0009500993068110893,0.021408738869004365
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,part_of_speech,True,,False,0.0,0,15,5.745963541666667,1189.0019535172207,0.0003308388029818755,0.010335501210948773
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,part_of_speech,True,,False,0.0,0,15,5.51640625,166760.08207806305,0.0004942382447543646,0.016788325704745765
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,part_of_speech,True,,False,0.0,0,15,5.178385416666667,9260.195459083237,0.0006541861106692028,0.01431912391260107
allenai/OLMo-2-0425-1B,main,part_of_speech,True,,False,0.0,0,15,6.183984375,25973.64049959014,0.00019793653302953483,0.007452491090796559
