model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple,True,,False,0.0,0,1494,11.086928035572337,186139.60401219546,1.7265731024811412e-05,4.38385460992703e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple,True,,False,0.09036144578313253,135,1494,7.743759810261203,1269753.3706664057,0.023352811601375503,0.03325184289485552
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple,True,,False,0.09437751004016064,141,1494,7.50734266757207,2087804.1734350736,0.021183890877881188,0.03274069921054297
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple,True,,False,0.13319946452476572,199,1494,7.116055269499083,5652026.0050350735,0.0372550103508748,0.05297812777049864
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple,True,,False,0.16733601070950468,250,1494,7.09464486793797,1303464.0088098573,0.04031144949504927,0.057273994776960505
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple,True,,False,0.16131191432396252,241,1494,7.044801011563106,1275402.9860985826,0.04805517367156591,0.06368491539802265
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple,True,,False,0.19812583668005354,296,1494,6.893296013575859,1270745.6510623414,0.04926817590455486,0.06574717142099762
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple,True,,False,0.1680053547523427,251,1494,6.799718353441296,705061.0448843361,0.048467003746203614,0.06640456748484659
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple,True,,False,0.18206157965194109,272,1494,6.835778342521437,3515237.260498438,0.057243380497797494,0.07293425802724164
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple,True,,False,0.1813922356091031,271,1494,6.808603318582847,982204.5823232218,0.053019548777030565,0.06957017106667206
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple,True,,False,0.18206157965194109,272,1494,6.720755140713175,1202924.1760363316,0.05957529566447439,0.07625959843805026
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple,True,,False,0.1934404283801874,289,1494,6.712028010660969,843581.4752206281,0.05629206342496,0.07419481621234088
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple,True,,False,0.21352074966532797,319,1494,6.807485896566903,2272082.5136629078,0.05046656930063081,0.06726726733319521
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple,True,,False,0.22356091030789826,334,1494,6.73927254669238,1289212.9873241354,0.05132247560179269,0.06803682036940434
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple,True,,False,0.22757697456492637,340,1494,6.781245942714673,6295032.378876878,0.052627327798829525,0.06912311583514992
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple,True,,False,0.19879518072289157,297,1494,6.703050158550705,2047161.0796591793,0.06352776161601342,0.0809892909330065
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple,True,,False,0.20214190093708165,302,1494,6.600484954154738,1371424.3869827883,0.06731911032486562,0.08384230341258729
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple,True,,False,0.18674698795180722,279,1494,6.761288522347358,2509620.0359582053,0.058829370594889345,0.07617979227404695
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple,True,,False,0.21352074966532797,319,1494,6.680498766311591,1636820.2604210596,0.06092884668171495,0.07697869623619887
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple,True,,False,0.20950468540829986,313,1494,6.6168725971955755,2987006.028371008,0.06138958128999668,0.07848173641932873
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple,True,,False,0.22021419009370816,329,1494,6.413405260713756,1574232.0012109682,0.06712239573205377,0.08596371397286061
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple,True,,False,0.19076305220883535,285,1494,6.588888468537687,858019.5167571162,0.062118053027351884,0.08026334530569795
allenai/OLMo-2-0425-1B,main,simple,True,,False,0.24029451137884872,359,1494,6.881654780316619,5111358.779212057,0.06839008108898342,0.08452822885102985
