model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_country_to_capital,correct_country_to_capital,total_country_to_capital,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_country_to_capital,True,,False,0.0,0,184,0.0,0,184,11.14807659646739,234393.95372574104,4.8717365312221743e-08,3.766141049335774e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_country_to_capital,True,,False,0.34782608695652173,64,184,0.34782608695652173,64,184,4.841807489809782,5038.440342450402,0.00016058404747843456,0.022151851981718495
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_country_to_capital,True,,False,0.44565217391304346,82,184,0.44565217391304346,82,184,4.262127420176631,3587.600366370824,0.0003335135802328289,0.03635881184333745
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_country_to_capital,True,,False,0.5815217391304348,107,184,0.5815217391304348,107,184,4.261219853940218,1514.756084824868,0.00025839231228878264,0.03393959390300795
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_country_to_capital,True,,False,0.625,115,184,0.625,115,184,4.282125721807065,1609.9806216227614,0.00019076414811893428,0.03321031254224353
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_country_to_capital,True,,False,0.6521739130434783,120,184,0.6521739130434783,120,184,4.356832753057065,1169.3096295320624,0.00013062859241930316,0.031980016080479186
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_country_to_capital,True,,False,0.6413043478260869,118,184,0.6413043478260869,118,184,4.093293563179348,758.08101926555,0.000275153477900543,0.03860549057177889
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_country_to_capital,True,,False,0.6956521739130435,128,184,0.6956521739130435,128,184,4.043271272078805,613.073532057606,0.00039784355240358386,0.03864998126652564
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_country_to_capital,True,,False,0.6793478260869565,125,184,0.6793478260869565,125,184,4.029657778532608,1016.5117526513612,0.00034603942320357995,0.03987444943718841
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_country_to_capital,True,,False,0.6956521739130435,128,184,0.6956521739130435,128,184,3.734130859375,387.81937192166896,0.0005603872221618763,0.050066782062670685
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_country_to_capital,True,,False,0.7663043478260869,141,184,0.7663043478260869,141,184,3.9330789317255435,582.4512219634327,0.0003955573262099869,0.042351754744286534
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_country_to_capital,True,,False,0.7608695652173914,140,184,0.7608695652173914,140,184,3.6758714758831523,202.78410895439592,0.0006627131066932409,0.050069676985700695
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_country_to_capital,True,,False,0.7065217391304348,130,184,0.7065217391304348,130,184,3.6855574898097827,306.58891874489063,0.00042721774878090845,0.048135187449828615
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_country_to_capital,True,,False,0.7010869565217391,129,184,0.7010869565217391,129,184,4.077721637228261,4140.2570509658935,0.0001728540634968815,0.036341712791609956
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_country_to_capital,True,,False,0.717391304347826,132,184,0.717391304347826,132,184,4.064394743546195,1251.6464251295445,0.00021534610606141377,0.03631122345048255
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_country_to_capital,True,,False,0.7934782608695652,146,184,0.7934782608695652,146,184,3.5304167374320654,311.8315526882162,0.0007148956864809277,0.05460390384197562
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_country_to_capital,True,,False,0.7554347826086957,139,184,0.7554347826086957,139,184,3.857129967730978,311.3213421987407,0.00027031390927198827,0.04229317342310932
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_country_to_capital,True,,False,0.7119565217391305,131,184,0.7119565217391305,131,184,3.8447530995244565,290.9936519939307,0.00026039933355976875,0.04115664686120553
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_country_to_capital,True,,False,0.782608695652174,144,184,0.782608695652174,144,184,3.800553031589674,369.4196613624332,0.00041615540590450757,0.04687285222076858
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_country_to_capital,True,,False,0.7771739130434783,143,184,0.7771739130434783,143,184,3.6514680281929346,486.7713710569504,0.0005300653210342843,0.05194280544512952
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_country_to_capital,True,,False,0.6739130434782609,124,184,0.6739130434782609,124,184,3.8550070057744565,513.7934132167461,0.0003762669014492896,0.04462307740879763
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_country_to_capital,True,,False,0.7989130434782609,147,184,0.7989130434782609,147,184,3.8233536430027173,388.81026015685546,0.0003507106661661258,0.04343945770548155
allenai/OLMo-2-0425-1B,main,simple_icl_country_to_capital,True,,False,0.8586956521739131,158,184,0.8586956521739131,158,184,3.4034052309782608,212.4413109666641,0.0007474855205637077,0.062156087538779194
