model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_first_letter,correct_first_letter,total_first_letter,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_first_letter,True,,False,0.0,0,190,0.0,0,190,9.334354440789474,15450.091019050551,0.0001373111446844827,0.0001373111446844827
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_first_letter,True,,False,0.14736842105263157,28,190,0.14736842105263157,28,190,9.057565789473685,13439.149776792527,0.0001669381211500847,0.0001669381211500847
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_first_letter,True,,False,0.4421052631578947,84,190,0.4421052631578947,84,190,9.183100328947368,14833.592872231435,0.00014344439187952815,0.00014344439187952815
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_first_letter,True,,False,0.6631578947368421,126,190,0.6631578947368421,126,190,8.261595394736842,5510.0754559842335,0.0003702802010348003,0.0003702802010348003
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_first_letter,True,,False,0.7315789473684211,139,190,0.7315789473684211,139,190,7.984909539473684,4250.871498830531,0.00048746040829524684,0.00048746040829524684
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_first_letter,True,,False,0.5526315789473685,105,190,0.5526315789473685,105,190,8.668667763157895,11236.834066694646,0.00026562789502220684,0.00026562789502220684
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_first_letter,True,,False,0.8368421052631579,159,190,0.8368421052631579,159,190,8.995990953947368,14087.569332950516,0.00017885575803259574,0.00017885575803259574
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_first_letter,True,,False,0.7842105263157895,149,190,0.7842105263157895,149,190,8.463754111842105,9275.434991206052,0.0003137721618723743,0.0003137721618723743
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_first_letter,True,,False,0.7210526315789474,137,190,0.7210526315789474,137,190,9.262068256578948,20790.261234703958,0.00015809089817964513,0.00015809089817964513
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_first_letter,True,,False,0.7052631578947368,134,190,0.7052631578947368,134,190,8.481476151315789,8688.639525405222,0.0003205733177217996,0.0003205733177217996
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_first_letter,True,,False,0.8894736842105263,169,190,0.8894736842105263,169,190,6.91506990131579,1646.18426495047,0.00146383425323226,0.00146383425323226
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_first_letter,True,,False,0.5631578947368421,107,190,0.5631578947368421,107,190,8.782668585526316,15953.570067564922,0.00028206943238966436,0.00028206943238966436
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_first_letter,True,,False,0.5263157894736842,100,190,0.5263157894736842,100,190,9.38287417763158,22676.65010767007,0.0001351898394851411,0.0001351898394851411
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_first_letter,True,,False,0.5368421052631579,102,190,0.5368421052631579,102,190,9.983203125,38769.41979536495,7.322379227124522e-05,7.322379227124522e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_first_letter,True,,False,0.6368421052631579,121,190,0.6368421052631579,121,190,7.366817434210526,4461.802054346319,0.0011372652263555913,0.0011372652263555913
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_first_letter,True,,False,0.6210526315789474,118,190,0.6210526315789474,118,190,8.00713404605263,5620.851566367843,0.0005192405265051688,0.0005192405265051688
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_first_letter,True,,False,0.531578947368421,101,190,0.531578947368421,101,190,7.903330592105263,4753.123426938226,0.0005722318627133665,0.0005722318627133665
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_first_letter,True,,False,0.5052631578947369,96,190,0.5052631578947369,96,190,7.944407894736842,6354.60623074731,0.0005583859751062813,0.0005583859751062813
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_first_letter,True,,False,0.34210526315789475,65,190,0.34210526315789475,65,190,8.563959703947368,7339.526514437195,0.00025133858259420865,0.00025133858259420865
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_first_letter,True,,False,0.5105263157894737,97,190,0.5105263157894737,97,190,8.10283717105263,11051.905764678133,0.0006403153671738302,0.0006403153671738302
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_first_letter,True,,False,0.3631578947368421,69,190,0.3631578947368421,69,190,8.727035361842105,8729.383619548045,0.0002357176100958685,0.0002357176100958685
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_first_letter,True,,False,0.5526315789473685,105,190,0.5526315789473685,105,190,8.436903782894737,8045.956736100061,0.0003324348002019953,0.0003324348002019953
allenai/OLMo-2-0425-1B,main,simple_icl_first_letter,True,,False,0.8526315789473684,162,190,0.8526315789473684,162,190,8.598848684210527,10279.846611280944,0.00028018616121898616,0.00028018616121898616
