model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr,correct_translate_eng_fr,total_translate_eng_fr,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_translate_eng_fr,True,,False,0.0,0,173,0.0,0,173,11.272579479768787,367326.2721394644,3.2925685975361553e-06,3.570664599623811e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_translate_eng_fr,True,,False,0.046242774566473986,8,173,0.046242774566473986,8,173,8.845635386560694,2176582.9014793746,1.8904823451940272e-05,0.002258902022624762
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_translate_eng_fr,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,7.806403540462428,837726.6285998287,4.967110518581348e-05,0.0049404910179047115
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_translate_eng_fr,True,,False,0.20809248554913296,36,173,0.20809248554913296,36,173,7.224406159682081,535140.6136504161,8.604915995466643e-05,0.005438840079144429
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_translate_eng_fr,True,,False,0.2774566473988439,48,173,0.2774566473988439,48,173,7.2804145592485545,595244.3281807927,8.14448014793535e-05,0.0059418755530860415
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_translate_eng_fr,True,,False,0.2832369942196532,49,173,0.2832369942196532,49,173,7.22609962066474,629750.1528348405,0.0001235126387998198,0.0053638879966781605
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_translate_eng_fr,True,,False,0.3179190751445087,55,173,0.3179190751445087,55,173,6.97378522398844,258379.46015188968,0.00012455980060835985,0.006360359154531519
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_translate_eng_fr,True,,False,0.32947976878612717,57,173,0.32947976878612717,57,173,6.905290372109826,100737.83687739237,0.0005179882921693759,0.007501185599672352
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_translate_eng_fr,True,,False,0.4046242774566474,70,173,0.4046242774566474,70,173,6.9202718569364166,528360.5630080604,0.00019129693080741935,0.007348777146458323
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_translate_eng_fr,True,,False,0.4682080924855491,81,173,0.4682080924855491,81,173,6.597328847543353,882160.6628005791,0.0009051401139618525,0.00940236450102501
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_translate_eng_fr,True,,False,0.3988439306358382,69,173,0.3988439306358382,69,173,6.428411759393064,889841.1527483293,0.0003189744217175727,0.010015950795377362
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_translate_eng_fr,True,,False,0.3583815028901734,62,173,0.3583815028901734,62,173,6.846770005419075,661222.2014663031,0.00014359320947418511,0.008660259203359324
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_translate_eng_fr,True,,False,0.32947976878612717,57,173,0.32947976878612717,57,173,6.400164830202312,945133.8523391885,0.000739541830560885,0.011555402153026405
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_translate_eng_fr,True,,False,0.4393063583815029,76,173,0.4393063583815029,76,173,6.484804010115607,238915.92133788622,0.0003746702756352168,0.010363290362090669
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_translate_eng_fr,True,,False,0.4797687861271676,83,173,0.4797687861271676,83,173,6.157728955924855,205969.2049583861,0.000743396860176081,0.012397448545479627
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_translate_eng_fr,True,,False,0.48554913294797686,84,173,0.48554913294797686,84,173,6.2802734375,131059.93587627723,0.000469231341796771,0.011096922045235281
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_translate_eng_fr,True,,False,0.4913294797687861,85,173,0.4913294797687861,85,173,6.1514687951589595,201017.35928569516,0.0006833055891000829,0.011717294481055749
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_translate_eng_fr,True,,False,0.4682080924855491,81,173,0.4682080924855491,81,173,6.260166410765896,78507.4793538478,0.00043516094327733675,0.009874454153190779
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_translate_eng_fr,True,,False,0.5202312138728323,90,173,0.5202312138728323,90,173,6.294402546965318,110043.34560323511,0.0006471538301040262,0.011377159725735202
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_translate_eng_fr,True,,False,0.4797687861271676,83,173,0.4797687861271676,83,173,6.272173049132948,36986.07108872565,0.00021729067902312264,0.009547202132958696
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_translate_eng_fr,True,,False,0.5491329479768786,95,173,0.5491329479768786,95,173,6.24200686416185,113380.69225867178,0.0002717139715518986,0.01082484702165794
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_translate_eng_fr,True,,False,0.5317919075144508,92,173,0.5317919075144508,92,173,6.134048726517341,68898.14611246948,0.00032727536445536007,0.011932652049182832
allenai/OLMo-2-0425-1B,main,simple_icl_translate_eng_fr,True,,False,0.6473988439306358,112,173,0.6473988439306358,112,173,6.246618722904624,693586.7125291689,0.00020291854368420563,0.01070840305045452
