model,checkpoint,task,success,error,cached
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_translate_eng_sp,False,division by zero,False
allenai/OLMo-2-0425-1B,main,simple_icl_translate_eng_sp,False,division by zero,False
