model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_MA3,correct_MA3,total_MA3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,11.154427083333333,153485.3250400554,7.475507060976711e-06,3.171721593288475e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,8.825390625,90606.44947143036,0.00024383897017675403,0.0026451889660298266
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.719466145833334,222880.34922818394,0.00045580343819434476,0.0030851160125219324
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.143815104166666,604892.9196837855,0.00039920958803064515,0.002989588258220401
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.147721354166666,610888.0065275659,0.00073803694262724,0.0033032802609751872
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.671484375,472547.362415191,0.0009934880155282374,0.005184984684140433
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.772981770833333,416513.5741783039,0.003684598259876573,0.006824364948308542
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.3314453125,895974.4964677177,0.000861688682242775,0.0033692987681627163
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.955013020833333,539464.2697931107,0.0006491439384856256,0.002641861218093288
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.458268229166666,307157.6694306294,0.00238208941367569,0.005780415735552278
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.2142578125,953023.4916010186,0.0012252941925078808,0.003812176139475579
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.5365234375,284872.1336876936,0.0021968968895439193,0.005141789785093684
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.094661458333333,905470.266093112,0.000850099574533222,0.004088894935575149
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.533919270833334,2057181.1090243873,0.00311382940828873,0.005992704517276976
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.017513020833333,592312.0105254333,0.0008790302008642881,0.005288027693459605
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.679296875,362099.1837334633,0.0009914495592350425,0.006569434955909904
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.7552734375,430692.97537190013,0.000726241556109101,0.004422407221755533
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.287239583333333,1013506.47533429,0.0021964133835017997,0.006381683345908546
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.5033203125,313617.3250745853,0.001951879434508038,0.006889126937777852
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.1791015625,198673.28538721154,0.0022066041122878453,0.006855871728392424
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.700065104166667,816741.5794162806,0.001910248780088446,0.007235548776402049
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,9.466731770833333,323762.38996843796,0.0016668736491280976,0.007992749417418286
allenai/OLMo-2-0425-1B,main,textfrct_MA3,True,,False,0.0,0,30,0.0,0,30,10.976432291666667,2179217.474910143,0.0014786227077103976,0.0053076227474441766
