model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RG1,correct_RG1,total_RG1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
allenai/OLMo-2-0425-1B,main,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,,,,
