model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,4.068576388888889,71.37940430360328,0.02185411495815765,0.02185411495815765
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,7.760959201388889,2956.788704833839,0.0005372727370265485,0.0005372727370265485
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.749457465277778,524.4916348450837,0.005131191165679689,0.005131191165679689
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,7.143229166666667,1584.2617054237867,0.0010215373027369014,0.0010215373027369014
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,6.642252604166667,926.197239725933,0.001613690010398371,0.001613690010398371
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,9.1591796875,12097.703514043638,0.00016634318946262482,0.00016634318946262482
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,14.35763888888889,3075828.4070290234,1.4822717945931773e-06,1.4822717945931773e-06
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,7.094401041666667,1373.5582090513444,0.0009627455633221848,0.0009627455633221848
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.5849609375,386.9212733131041,0.005454094927476389,0.005454094927476389
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.907443576388889,431.4001927973766,0.003135282109167952,0.003135282109167952
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,4.826171875,151.80263010392957,0.009909348188063848,0.009909348188063848
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.965928819444445,581.3885369110909,0.004155161837425994,0.004155161837425994
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,10.23752170138889,35085.58841548256,5.4521051250753304e-05,5.4521051250753304e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.494086371527778,340.5006697054784,0.005712597524438926,0.005712597524438926
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,6.375217013888889,750.0378116101014,0.0021866852629290248,0.0021866852629290248
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.588758680555555,295.1019254480212,0.004108625124172566,0.004108625124172566
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.9208984375,429.4531514446689,0.0030320993737485706,0.0030320993737485706
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,9.88161892361111,31771.957530427648,8.643904832825682e-05,8.643904832825682e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,6.381401909722222,703.6015097804352,0.0020881623818051697,0.0020881623818051697
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,8.828667534722221,8451.323801116367,0.00018539410833232886,0.00018539410833232886
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,5.367730034722222,270.04908352283843,0.0056665777045088,0.0056665777045088
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,4.974175347222222,153.5098965239525,0.00731530621377313,0.00731530621377313
allenai/OLMo-2-0425-1B,main,textfrct_V5,True,,False,0.0,0,36,0.0,0,36,7.071723090277778,1382.0515564348605,0.000975346845301435,0.000975346845301435
