model,checkpoint,compositional:first_upper
allenai/OLMo-2-0425-1B,main,7.410481770833333
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.359049479166666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.831705729166667
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.193250868055555
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.265625
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.326605902777778
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.360134548611111
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.17578125
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.051974826388889
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.270833333333333
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.580403645833333
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.94140625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.475260416666667
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.328776041666667
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.788953993055555
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.919487847222222
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.250217013888889
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.920138888888889
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.545464409722222
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.164496527777779
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.675998263888889
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.638563368055555
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.480577256944445
