model,checkpoint,compositional:gerund_first
allenai/OLMo-2-0425-1B,main,8.6796875
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.55390625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.936328125
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.630078125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.066796875
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.687109375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.0828125
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.88125
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.159375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.88359375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.370703125
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.444140625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.573828125
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.331640625
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.592578125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.657421875
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.0875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.227734375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.261328125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.448046875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.161328125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.725390625
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.7734375
