model,checkpoint,compositional_gerund_upper_reverse
allenai/OLMo-2-0425-1B,main,5.492593486657303
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,6.290477966994382
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,5.881627457865169
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.962528528792135
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.389736218398877
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.78832733497191
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,5.917288448033708
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,5.885127721207865
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.877348139044944
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.87378204002809
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,5.88743196980337
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.232268258426966
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,5.877018960674158
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.547083479634831
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.687148876404494
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,5.855578476123595
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.961058198735955
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,5.918001667837078
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.045316889044944
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,5.685821190308989
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,5.701599806882022
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.082634743679775
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.673136850421348
