model,checkpoint,compositional:lower_first
allenai/OLMo-2-0425-1B,main,8.86892361111111
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.8203125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.083550347222221
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.65407986111111
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.413411458333334
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.759440104166666
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.154622395833334
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.412217881944445
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.439453125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.344075520833334
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.803385416666667
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.697374131944445
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.069661458333334
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.137044270833334
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.878255208333333
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.7431640625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.05078125
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.78244357638889
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.458658854166666
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.544921875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.222981770833334
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.92849392361111
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.687282986111111
