model,checkpoint,compositional_plural_lower
allenai/OLMo-2-0425-1B,main,5.862002840909091
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,5.2782670454545455
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.964607007575758
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.2846709280303035
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,5.259635416666667
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.326455965909091
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,5.442885890151516
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.740932765151515
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.552201704545454
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.423875473484848
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,5.23049834280303
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.25279356060606
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.914459043560606
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,5.264109848484848
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.118525094696969
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,5.051207386363636
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.428136837121212
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,5.251751893939394
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.532078598484849
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,5.078740530303031
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,5.0216500946969695
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,5.351148200757576
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.055616714015152
