model,checkpoint,compositional:plural_reverse
allenai/OLMo-2-0425-1B,main,7.987890625
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.539453125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.14375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.05546875
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.2328125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.099609375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.3765625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.359375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.3859375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.53125
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.19609375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,9.84765625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.533203125
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.38984375
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.278515625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.669921875
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.78046875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.713671875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.54609375
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.28046875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.336328125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.3375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.032421875
