model,checkpoint,compositional:reverse_lower
allenai/OLMo-2-0425-1B,main,8.166124131944445
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.55056423611111
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.919813368055555
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.419487847222221
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,9.077799479166666
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.651801215277779
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.675238715277779
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.359809027777779
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,9.11990017361111
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.941514756944445
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.571831597222221
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,9.728841145833334
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,9.469292534722221
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.745551215277779
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.856119791666666
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.16330295138889
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,9.191514756944445
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.049913194444445
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.550672743055555
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,9.138563368055555
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.834092881944445
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.145616319444445
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.67361111111111
