model,checkpoint,compositional:translate_eng_fr_upper
allenai/OLMo-2-0425-1B,main,5.730886470375722
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.54296875
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.11953125
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.9578125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.8859375
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.218072615606936
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.299279714595376
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.1546875
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.741927835982659
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.768379696531792
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.184180816473988
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.62578125
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.589453125
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.688561235549133
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.873679100433526
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.2546875
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,6.527456647398844
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.341796875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.912075505780347
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.463671875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.2365234375
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.040234375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.863671875
