model,checkpoint,compositional_translate_eng_fr_upper_reverse
allenai/OLMo-2-0425-1B,main,8.461085119912791
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.944108829941861
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.794251907703488
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.804324127906977
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.846293604651162
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.852107558139535
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,9.001339934593023
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.906056958575581
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.858262172965116
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.714571220930232
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.737168422965116
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.856240915697674
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.878508811773257
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.758244004360465
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.652468659156977
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.884674781976743
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.784429505813954
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.75203261264535
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.832099382267442
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.866767351017442
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.910905704941861
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.076762354651162
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.663630995639535
