model,checkpoint,compositional_translate_fr_eng_reverse
allenai/OLMo-2-0425-1B,main,10.220508954678362
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.231633771929825
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.388294956140351
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.161504020467836
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.521952668128655
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.3539153874269
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.165867141812866
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.52951388888889
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.434507492690058
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.4921875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.15344024122807
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.162577668128655
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.635096856725147
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.254648665935672
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.300689875730994
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.52218110380117
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.597313596491228
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.498058296783626
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.274191337719298
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.448990314327485
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.444535818713451
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.572528326023392
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.178271198830409
