model,checkpoint,compositional_upper_reverse_last
allenai/OLMo-2-0425-1B,main,7.596153846153846
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.786959134615385
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.459735576923077
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.7118389423076925
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.919170673076923
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.231219951923077
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.345552884615385
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.06219951923077
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.306340144230769
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.7041766826923075
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.8233173076923075
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.056039663461538
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.535907451923077
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.600811298076923
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.9969951923076925
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.309495192307692
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.2040264423076925
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.754056490384615
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.4598858173076925
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.021935096153847
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.145282451923077
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.870192307692308
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.873347355769231
