model,checkpoint,textfrct_V2
allenai/OLMo-2-0425-1B,main,7.367947048611111
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.815646701388889
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.844563802083333
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.924587673611111
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.514105902777779
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.266655815972222
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.174587673611111
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,5.852864583333333
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.831163194444445
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.944878472222222
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.828125
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,4.125217013888889
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.223849826388889
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.573133680555555
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,9.088975694444445
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.619683159722222
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.641927083333333
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.156901041666666
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.3251953125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,13.776041666666666
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.965060763888889
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,5.683322482638889
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.116644965277778
