model,checkpoint,compositional_plural_lower
allenai/OLMo-2-1124-7B,main,0.9877300613496932
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.9333333333333333
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.9454545454545454
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.9818181818181818
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.9818181818181818
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.9515151515151515
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.9575757575757575
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.9757575757575757
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.9212121212121213
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.9693251533742331
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.9515151515151515
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.9815950920245399
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.9515151515151515
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.9515151515151515
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.9696969696969697
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.9757575757575757
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.8666666666666667
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.9696969696969697
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.9818181818181818
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.9575757575757575
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.9575757575757575
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.9757575757575757
